PM2.5,PM10,Temperature,Humidity,CO,NO2,AQI
241.83,561.94,30.75,43.04,2.41,85.69,458.0
241.09,432.5,34.68,69.96,8.1,42.28,500.0
213.99,388.95,15.4,43.58,3.93,41.86,308.0
77.14,131.28,28.98,31.66,8.35,118.9,165.0
99.35,244.07,20.06,55.85,3.88,144.77,212.0
213.53,449.76,15.81,39.83,8.26,55.31,333.0
82.65,108.12,23.06,67.89,3.4,106.32,146.0
46.53,108.03,33.7,62.06,4.46,46.13,125.0
141.42,258.05,15.24,76.18,6.19,139.91,265.0
234.36,302.18,26.76,69.15,0.8,104.21,358.0
175.53,336.07,25.03,39.04,9.49,122.37,338.0
144.66,252.05,32.47,70.01,5.78,16.91,296.0
28.81,67.44,16.68,62.09,5.13,93.79,87.0
155.68,228.1,28.63,63.45,8.41,83.87,326.0
247.56,563.06,28.6,71.61,8.67,51.02,500.0
39.32,75.69,28.38,58.69,5.27,46.74,115.0
131.99,167.76,33.85,53.3,9.28,91.2,261.0
219.96,541.84,31.46,61.83,0.74,108.91,479.0
186.49,348.06,15.84,44.9,1.22,14.64,264.0
175.77,277.39,24.42,39.13,6.01,89.44,263.0
177.11,320.61,22.96,60.83,3.61,33.86,305.0
93.08,215.49,21.2,41.69,4.7,29.65,179.0
76.93,122.81,24.03,34.0,3.35,97.24,112.0
203.29,294.87,22.68,30.03,4.11,53.52,294.0
203.48,278.32,23.65,60.42,8.24,71.72,345.0
217.43,345.11,34.59,48.11,5.98,60.4,391.0
228.74,506.45,16.77,67.62,9.97,100.77,443.0
130.28,236.21,33.44,48.76,7.89,75.82,280.0
127.87,191.26,24.6,54.3,2.81,144.88,237.0
200.58,284.03,27.47,50.35,2.72,59.33,310.0
164.24,268.13,31.6,62.53,3.43,113.64,315.0
176.98,428.63,22.21,47.81,8.45,46.02,341.0
199.97,329.14,23.61,78.19,0.37,81.23,346.0
223.05,554.18,23.19,76.81,2.38,87.36,473.0
87.81,160.76,22.49,72.4,9.06,56.08,213.0
97.02,139.02,33.51,76.02,6.43,76.05,213.0
28.03,66.1,31.58,52.46,2.35,49.1,82.0
146.68,263.8,17.18,56.82,2.27,10.84,217.0
13.81,29.3,17.16,67.1,8.64,40.19,71.0
119.07,295.16,23.56,64.81,8.95,108.01,302.0
137.95,174.54,16.97,74.53,2.64,117.93,217.0
75.2,99.7,27.38,65.82,4.26,49.23,151.0
149.75,319.96,17.87,79.89,8.36,67.13,329.0
12.47,19.54,25.45,47.43,7.73,15.23,56.0
14.15,20.37,15.14,71.65,8.16,43.19,80.0
206.54,258.41,21.33,64.88,5.23,119.09,331.0
93.25,114.54,28.54,64.57,9.12,94.84,217.0
36.13,79.73,24.68,46.29,3.33,38.81,101.0
132.95,182.77,34.57,69.28,1.65,46.04,234.0
193.65,350.12,32.48,75.02,7.12,124.35,436.0
57.88,115.04,22.18,40.93,5.44,39.27,112.0
157.61,276.9,15.91,61.27,8.56,56.78,269.0
25.91,32.01,31.91,49.61,0.9,103.01,61.0
17.66,39.18,33.22,79.48,8.45,88.56,98.0
135.18,164.07,31.41,53.94,3.0,74.52,212.0
137.46,301.09,17.56,41.42,6.58,135.96,263.0
161.17,380.57,34.96,49.09,0.5,40.76,314.0
182.89,322.38,20.17,62.69,6.13,113.8,340.0
244.08,462.83,29.48,33.8,7.2,32.27,409.0
131.49,239.33,33.16,60.18,3.75,96.2,290.0
84.12,143.51,19.71,76.56,2.23,131.89,179.0
199.82,470.31,33.17,72.52,5.42,74.11,480.0
71.35,168.55,21.19,33.38,8.35,111.4,170.0
112.55,184.19,34.53,79.67,3.3,124.86,261.0
24.22,48.43,20.63,64.94,2.6,29.04,71.0
11.21,26.96,34.07,38.11,2.86,108.82,64.0
240.85,590.24,16.07,30.62,9.5,138.78,417.0
209.82,390.6,29.19,38.56,3.66,90.69,356.0
175.51,313.94,25.64,71.91,0.14,36.06,311.0
105.19,164.34,24.56,31.08,7.84,27.77,169.0
47.46,116.11,19.47,41.66,7.02,46.36,109.0
43.33,60.04,29.11,67.87,1.37,24.49,94.0
66.31,129.55,18.82,59.31,9.85,81.88,186.0
139.56,218.74,26.06,69.14,6.12,19.76,249.0
180.08,281.41,20.06,67.31,5.06,41.28,293.0
166.75,287.88,34.11,32.53,3.88,71.59,293.0
73.58,183.84,15.57,74.63,9.0,76.35,201.0
238.94,303.8,18.99,41.35,2.52,89.16,315.0
185.78,362.67,19.85,57.67,2.93,108.79,334.0
140.82,184.1,23.28,62.21,1.31,16.61,202.0
154.87,216.96,19.65,38.43,7.62,21.29,229.0
107.8,190.96,24.83,78.81,6.0,18.52,227.0
65.69,122.43,32.45,54.41,6.13,69.24,152.0
92.21,141.68,29.24,32.88,2.26,15.86,141.0
190.67,307.25,26.6,76.86,6.55,114.45,394.0
8.53,11.2,16.78,59.31,7.68,41.22,52.0
33.44,53.31,28.88,64.96,3.64,141.49,107.0
16.27,39.97,18.33,56.26,8.03,78.1,84.0
14.98,36.37,30.73,71.74,3.55,72.49,66.0
214.59,350.92,20.0,31.66,7.61,119.28,329.0
177.4,344.52,23.34,43.42,0.43,109.84,282.0
121.17,288.69,22.01,53.48,5.56,95.02,269.0
28.97,35.0,32.18,33.83,9.7,140.92,118.0
125.45,282.74,17.53,65.3,9.81,69.12,266.0
121.0,294.38,26.31,49.68,2.89,123.19,274.0
47.43,62.55,17.84,43.63,4.47,63.21,90.0
111.29,156.91,29.1,30.17,0.72,127.37,162.0
102.63,251.35,33.1,65.99,8.75,46.33,286.0
155.88,295.99,23.69,71.69,5.73,50.5,313.0
160.6,195.68,24.76,49.75,3.91,104.9,229.0
16.1,24.71,33.55,58.21,1.22,39.78,36.0
96.78,172.75,25.42,41.38,9.47,42.08,197.0
158.34,332.63,24.75,61.11,5.35,52.74,291.0
128.27,276.18,26.57,30.61,2.9,105.05,229.0
214.84,535.82,28.78,54.43,3.57,134.51,459.0
166.38,261.84,17.14,62.21,2.78,104.44,255.0
44.92,85.33,31.42,75.91,6.06,125.89,154.0
22.29,42.2,23.71,49.07,9.31,86.1,97.0
162.39,280.51,16.45,68.26,8.58,19.65,276.0
11.5,16.32,30.72,59.88,4.66,24.07,58.0
148.52,366.94,22.54,76.35,8.28,87.61,367.0
235.36,543.51,17.01,49.92,4.29,55.89,400.0
145.99,269.77,27.68,45.95,2.6,40.88,245.0
100.1,198.62,32.6,74.36,9.84,75.28,277.0
162.61,243.17,32.76,32.46,3.11,103.31,257.0
117.27,223.63,34.15,36.82,3.3,63.9,197.0
138.68,291.7,32.35,34.12,9.9,122.36,303.0
235.66,440.62,15.04,72.16,1.43,113.39,387.0
99.6,247.73,22.6,30.53,7.63,112.89,207.0
240.49,479.72,31.37,73.08,9.36,147.93,500.0
226.81,381.56,22.33,52.56,5.17,51.33,364.0
52.97,116.73,27.03,30.2,0.12,100.26,101.0
21.99,31.27,27.13,50.08,3.81,129.77,82.0
29.69,50.47,22.3,39.34,1.2,91.13,68.0
9.46,15.63,33.09,61.22,4.22,120.53,58.0
28.14,49.56,25.06,63.97,7.92,68.02,102.0
172.34,381.95,24.3,54.38,4.44,92.67,337.0
22.44,41.05,34.95,32.03,4.38,17.79,63.0
83.15,185.61,24.87,62.81,5.61,148.01,214.0
211.99,413.27,18.57,72.1,5.86,122.0,430.0
10.7,17.6,25.26,66.02,8.58,131.63,80.0
204.54,460.83,31.28,71.5,3.15,107.2,463.0
74.05,111.81,30.54,40.03,8.23,36.05,165.0
33.95,50.64,30.77,74.44,5.7,14.34,98.0
175.7,326.07,29.16,46.11,3.08,131.05,313.0
159.09,244.86,20.08,30.67,3.02,65.49,234.0
219.98,266.58,32.24,72.17,3.68,46.94,348.0
185.09,378.1,32.87,77.09,6.26,88.63,420.0
201.85,376.34,18.88,62.78,2.39,68.93,349.0
74.1,131.83,17.61,41.57,9.21,101.23,154.0
48.47,119.1,34.51,42.59,5.79,77.73,154.0
188.9,366.95,32.37,53.33,9.21,107.61,384.0
202.67,470.7,32.86,74.89,0.56,129.48,449.0
247.67,342.11,32.73,37.48,3.49,37.38,358.0
106.09,205.81,25.83,71.3,0.33,56.12,205.0
96.14,223.86,27.93,44.57,2.8,71.15,193.0
195.22,382.25,25.91,70.43,8.63,144.69,419.0
88.5,188.8,16.02,76.01,0.46,61.15,180.0
233.04,392.35,29.91,51.37,4.42,63.35,415.0
215.31,284.25,25.11,48.25,1.26,101.49,306.0
110.1,197.67,27.95,70.11,4.23,68.69,212.0
188.96,323.66,25.05,56.47,8.4,143.17,341.0
189.86,441.85,24.84,64.22,6.27,135.23,416.0
30.27,45.92,18.44,61.14,7.39,81.88,101.0
226.13,555.53,20.57,37.64,3.56,100.27,396.0
128.79,314.96,18.18,72.24,9.45,18.12,289.0
207.48,315.77,18.91,39.79,7.12,107.4,303.0
83.41,137.84,34.46,76.61,4.28,109.01,211.0
224.4,530.54,18.06,42.53,4.32,60.29,398.0
100.35,246.53,20.39,66.69,9.19,40.76,219.0
7.66,13.6,26.81,44.23,5.81,138.11,67.0
226.82,366.83,27.2,45.89,7.09,69.74,368.0
27.37,51.55,18.08,45.5,4.23,101.52,61.0
83.23,174.3,30.87,67.39,2.31,14.67,162.0
237.77,369.85,30.7,57.84,7.26,67.97,430.0
237.9,513.25,19.75,74.15,6.12,124.42,483.0
145.49,184.36,20.77,45.37,5.06,64.26,228.0
159.8,202.0,33.76,64.6,6.28,94.44,302.0
114.87,195.53,31.51,67.65,2.16,39.38,201.0
76.84,127.51,28.96,37.57,7.96,68.31,159.0
85.52,137.72,16.64,50.03,9.49,139.87,168.0
169.77,312.09,23.37,54.14,8.92,89.3,312.0
189.33,306.14,26.19,47.78,3.28,136.27,324.0
198.94,288.45,18.75,46.11,4.12,136.28,298.0
198.46,317.99,23.96,64.32,8.1,142.18,382.0
27.35,67.47,27.02,40.79,5.99,135.35,99.0
126.13,218.77,21.55,65.47,5.52,10.46,235.0
19.1,33.97,30.62,76.75,9.27,140.76,120.0
139.63,272.22,31.81,58.26,5.41,29.24,293.0
113.17,280.49,21.47,60.57,5.2,15.59,239.0
222.49,336.86,31.77,33.45,0.52,17.75,310.0
90.97,189.74,17.07,73.22,0.79,58.85,171.0
33.68,71.77,31.75,44.27,0.17,96.91,79.0
40.03,79.65,18.06,60.75,9.14,66.32,136.0
191.57,251.94,16.66,78.96,4.14,13.58,294.0
156.46,325.43,27.84,59.78,4.74,76.71,318.0
29.78,38.21,24.44,66.24,8.47,71.9,101.0
25.61,50.57,33.16,52.27,6.13,115.96,112.0
176.74,382.01,22.26,33.02,6.13,49.15,305.0
22.83,33.65,20.74,69.88,3.04,40.45,55.0
206.36,473.4,25.01,31.75,8.36,45.83,357.0
178.03,220.66,24.12,65.03,1.74,52.52,257.0
24.93,57.26,21.89,31.15,0.63,93.88,55.0
25.79,46.37,28.87,73.12,2.0,76.01,88.0
246.73,365.86,30.19,37.88,2.75,57.17,362.0
96.7,132.85,32.06,55.71,2.89,62.4,167.0
95.81,233.7,34.46,59.86,6.74,61.93,231.0
204.14,264.25,20.33,52.88,2.26,146.14,314.0
237.08,345.85,29.32,47.04,6.8,42.62,386.0
246.57,407.38,22.89,53.39,1.0,124.53,396.0
189.58,380.35,28.54,45.57,1.56,109.15,347.0
97.18,185.45,24.52,51.91,5.14,10.78,179.0
25.46,34.71,34.88,47.95,9.23,149.04,121.0
195.4,308.08,29.58,58.31,8.61,115.9,392.0
141.81,214.19,34.05,41.9,9.69,105.54,283.0
108.93,160.96,31.7,79.43,6.54,66.75,248.0
227.06,393.83,33.06,55.04,6.79,87.73,442.0
32.24,68.2,31.29,39.71,6.29,45.46,101.0
125.69,186.36,24.18,53.85,6.27,14.97,210.0
7.78,13.05,20.04,73.32,1.56,127.04,47.0
119.82,204.68,22.41,31.09,5.48,135.51,213.0
18.79,46.41,15.4,63.98,3.92,32.75,66.0
34.11,83.27,25.48,57.4,4.48,120.19,123.0
33.79,75.7,25.1,38.48,5.28,113.76,106.0
164.06,248.41,25.51,70.87,1.37,34.97,277.0
187.78,241.95,34.48,48.44,3.66,69.06,299.0
147.93,238.45,33.23,44.69,0.73,69.19,238.0
240.73,372.37,18.23,71.41,9.8,116.39,435.0
96.84,179.91,22.38,61.93,1.27,127.27,181.0
75.0,165.83,23.48,74.91,2.66,23.27,160.0
217.81,504.4,22.21,61.49,8.92,88.82,464.0
59.78,137.4,30.97,67.04,4.88,116.64,185.0
240.99,401.87,25.48,71.82,1.44,120.07,432.0
7.98,16.7,26.44,32.74,3.9,30.72,33.0
242.62,389.81,32.06,68.8,1.25,83.57,436.0
15.57,19.92,31.12,60.69,2.08,130.06,72.0
223.33,471.68,17.64,33.48,0.62,54.59,324.0
134.29,162.86,29.28,55.43,4.44,69.52,218.0
248.28,430.0,23.71,34.12,8.09,122.61,408.0
23.08,37.58,20.89,66.8,5.9,22.5,72.0
140.69,295.65,16.0,57.33,6.1,130.33,265.0
242.48,532.51,24.74,77.68,2.09,53.56,491.0
133.16,212.43,22.11,39.16,3.5,10.2,204.0
159.2,359.02,20.03,60.3,8.47,42.78,312.0
175.46,277.59,28.89,40.58,0.97,22.53,256.0
116.36,207.15,30.39,60.7,8.59,22.93,246.0
158.75,340.54,19.9,66.13,4.89,107.0,321.0
148.16,311.25,15.99,66.12,8.39,39.96,294.0
225.78,560.75,31.98,70.75,3.25,140.86,500.0
16.13,24.08,15.2,72.68,3.45,82.3,42.0
73.84,152.18,33.74,33.86,7.54,74.41,183.0
237.85,473.94,27.55,47.16,7.87,70.8,427.0
223.11,533.16,21.44,64.36,2.37,106.96,442.0
116.64,163.67,19.93,54.93,9.73,73.32,215.0
156.93,341.7,15.18,39.53,0.94,28.0,235.0
72.96,141.45,19.71,57.64,0.78,133.22,160.0
51.09,79.55,17.75,50.37,6.0,69.98,139.0
118.61,215.48,27.24,49.5,7.26,20.36,209.0
91.57,149.62,18.33,70.49,9.61,84.11,214.0
148.0,289.05,25.57,50.38,4.11,100.63,275.0
